Age Group,Year,Unemployment
15 - 24,2000,5.9
25 & Over,2000,3.4
25 - 29,2000,3.6
30 - 39,2000,3.1
40 - 49,2000,3.7
50 & Over,2000,3.4
50 - 59,2000,3.6
60 & Over,2000,2.7
Below 30,2000,4.6
Total,2000,3.6
15 - 24,2001,6.2
25 & Over,2001,3.4
25 - 29,2001,4.3
30 - 39,2001,3.1
40 - 49,2001,3.4
50 & Over,2001,3.5
50 - 59,2001,3.8
60 & Over,2001,2.3
Below 30,2001,5.1
Total,2001,3.7
15 - 24,2002,8.8
25 & Over,2002,4.4
25 - 29,2002,5.0
30 - 39,2002,3.9
40 - 49,2002,4.6
50 & Over,2002,4.4
50 - 59,2002,4.8
60 & Over,2002,3.3
Below 30,2002,6.6
Total,2002,4.8
15 - 24,2003,9.3
25 & Over,2003,4.8
25 - 29,2003,5.8
30 - 39,2003,4.5
40 - 49,2003,4.9
50 & Over,2003,4.5
50 - 59,2003,5.0
60 & Over,2003,2.8
Below 30,2003,7.3
Total,2003,5.3
15 - 24,2004,8.6
25 & Over,2004,4.0
25 - 29,2004,5.1
30 - 39,2004,3.5
40 - 49,2004,3.8
50 & Over,2004,4.3
50 - 59,2004,4.6
60 & Over,2004,3.0
Below 30,2004,6.7
Total,2004,4.5
15 - 24,2005,8.3
25 & Over,2005,3.7
25 - 29,2005,4.4
30 - 39,2005,3.1
40 - 49,2005,3.6
50 & Over,2005,4.1
50 - 59,2005,4.2
60 & Over,2005,3.8
Below 30,2005,6.2
Total,2005,4.1
15 - 24,2006,7.1
25 & Over,2006,3.2
25 - 29,2006,3.8
30 - 39,2006,3.0
40 - 49,2006,3.0
50 & Over,2006,3.4
50 - 59,2006,3.5
60 & Over,2006,2.8
Below 30,2006,5.4
Total,2006,3.6
15 - 24,2007,6.3
25 & Over,2007,2.6
25 - 29,2007,3.0
30 - 39,2007,2.4
40 - 49,2007,2.4
50 & Over,2007,2.9
50 - 59,2007,2.9
60 & Over,2007,2.6
Below 30,2007,4.5
Total,2007,2.9
15 - 24,2008,7.0
25 & Over,2008,2.8
25 - 29,2008,3.7
30 - 39,2008,2.6
40 - 49,2008,2.7
50 & Over,2008,2.9
50 - 59,2008,3.1
60 & Over,2008,2.3
Below 30,2008,5.2
Total,2008,3.3
15 - 24,2009,8.8
25 & Over,2009,3.9
25 - 29,2009,5.0
30 - 39,2009,3.6
40 - 49,2009,3.8
50 & Over,2009,3.9
50 - 59,2009,4.0
60 & Over,2009,3.7
Below 30,2009,6.7
Total,2009,4.3
15 - 24,2010,7.4
25 & Over,2010,2.7
25 - 29,2010,3.9
30 - 39,2010,2.3
40 - 49,2010,2.6
50 & Over,2010,2.7
50 - 59,2010,2.6
60 & Over,2010,2.9
Below 30,2010,5.5
Total,2010,3.1
15 - 24,2011,6.7
25 & Over,2011,2.5
25 - 29,2011,3.4
30 - 39,2011,2.4
40 - 49,2011,2.1
50 & Over,2011,2.5
50 - 59,2011,2.5
60 & Over,2011,2.5
Below 30,2011,5.0
Total,2011,2.9
15 - 24,2012,6.7
25 & Over,2012,2.4
25 - 29,2012,3.5
30 - 39,2012,2.2
40 - 49,2012,2.1
50 & Over,2012,2.4
50 - 59,2012,2.2
60 & Over,2012,2.8
Below 30,2012,5.1
Total,2012,2.8
15 - 24,2013,6.7
25 & Over,2013,2.4
25 - 29,2013,3.9
30 - 39,2013,2.2
40 - 49,2013,2.2
50 & Over,2013,2.3
50 - 59,2013,2.3
60 & Over,2013,2.2
Below 30,2013,5.2
Total,2013,2.8
15 - 24,2014,6.4
25 & Over,2014,2.4
25 - 29,2014,4.1
30 - 39,2014,2.2
40 - 49,2014,2.1
50 & Over,2014,2.3
50 - 59,2014,2.2
60 & Over,2014,2.4
Below 30,2014,5.2
Total,2014,2.8
15 - 24,2015,6.7
25 & Over,2015,2.4
25 - 29,2015,3.6
30 - 39,2015,1.9
40 - 49,2015,2.4
50 & Over,2015,2.4
50 - 59,2015,2.4
60 & Over,2015,2.3
Below 30,2015,5.1
Total,2015,2.8
15 - 24,2016,6.5
25 & Over,2016,2.7
25 - 29,2016,3.8
30 - 39,2016,2.3
40 - 49,2016,2.4
50 & Over,2016,2.7
50 - 59,2016,2.7
60 & Over,2016,2.6
Below 30,2016,5.0
Total,2016,3.0
15 - 24,2017,6.9
25 & Over,2017,2.8
25 - 29,2017,4.2
30 - 39,2017,2.3
40 - 49,2017,2.6
50 & Over,2017,2.8
50 - 59,2017,2.9
60 & Over,2017,2.5
Below 30,2017,5.5
Total,2017,3.1
15 - 24,2018,6.8
25 & Over,2018,2.6
25 - 29,2018,4.1
30 - 39,2018,2.2
40 - 49,2018,2.3
50 & Over,2018,2.6
50 - 59,2018,2.7
60 & Over,2018,2.5
Below 30,2018,5.2
Total,2018,2.9
15 - 24,2019,7.8
25 & Over,2019,2.8
25 - 29,2019,4.7
30 - 39,2019,2.2
40 - 49,2019,2.5
50 & Over,2019,2.9
50 - 59,2019,3.0
60 & Over,2019,2.7
Below 30,2019,5.9
Total,2019,3.2
15 - 24,2020,10.7
25 & Over,2020,3.7
25 - 29,2020,5.6
30 - 39,2020,2.9
40 - 49,2020,3.5
50 & Over,2020,3.8
50 - 59,2020,3.9
60 & Over,2020,3.7
Below 30,2020,7.5
Total,2020,4.1
15 - 24,2021,7.6
25 & Over,2021,3.3
25 - 29,2021,4.6
30 - 39,2021,2.6
40 - 49,2021,3.1
50 & Over,2021,3.4
50 - 59,2021,3.5
60 & Over,2021,3.4
Below 30,2021,5.7
Total,2021,3.7
15 - 24,2022,6.0
25 & Over,2022,2.7
25 - 29,2022,3.9
30 - 39,2022,2.3
40 - 49,2022,2.6
50 & Over,2022,2.8
50 - 59,2022,2.8
60 & Over,2022,2.8
Below 30,2022,4.7
Total,2022,2.9
15 - 24,2023,6.8
25 & Over,2023,2.5
25 - 29,2023,4.3
30 - 39,2023,2.1
40 - 49,2023,2.3
50 & Over,2023,2.4
50 - 59,2023,2.5
60 & Over,2023,2.2
Below 30,2023,5.3
Total,2023,2.7
15 - 24,2024,7.0
25 & Over,2024,2.5
25 - 29,2024,4.7
30 - 39,2024,2.1
40 - 49,2024,2.2
50 & Over,2024,2.5
50 - 59,2024,2.7
60 & Over,2024,2.2
Below 30,2024,5.6
Total,2024,2.8
